image_name,points,xi,yi,xw,yw
192.168.20.101_01_20250728133616710.jpeg,1,496.0,1041.0,27.0,125.7
192.168.20.101_01_20250728133616710.jpeg,2,301.0,729.0,27.0,242.0
192.168.20.101_01_20250728133616710.jpeg,3,525.0,649.0,104.4,242.1
192.168.20.101_01_20250728133616710.jpeg,4,765.0,904.0,104.5,125.2
192.168.20.101_01_20250728133616710.jpeg,5,507.0,814.0,65.8,183.1
192.168.20.101_01_20250728134112403.jpeg,1,355.0,824.0,27.1,201.0
192.168.20.101_01_20250728134112403.jpeg,2,237.0,594.0,27.2,317.7
192.168.20.101_01_20250728134112403.jpeg,3,428.0,532.0,104.5,317.8
192.168.20.101_01_20250728134112403.jpeg,4,597.0,728.0,104.7,200.9
192.168.20.101_01_20250728134112403.jpeg,5,394.0,656.0,66.0,259.3
192.168.20.101_01_2025072813452872.jpeg,1,259.0,609.0,32.4,305.1
192.168.20.101_01_2025072813452872.jpeg,2,194.0,459.0,32.4,421.1
192.168.20.101_01_2025072813452872.jpeg,3,351.0,414.0,109.7,421.2
192.168.20.101_01_2025072813452872.jpeg,4,456.0,548.0,110.0,304.9
192.168.20.101_01_2025072813452872.jpeg,5,309.0,498.0,71.2,363.3
192.168.20.101_01_20250728134847432.jpeg,1,233.0,540.0,34.8,352.0
192.168.20.101_01_20250728134847432.jpeg,2,181.0,415.0,33.9,468.5
192.168.20.101_01_20250728134847432.jpeg,3,324.0,375.0,111.5,469.2
192.168.20.101_01_20250728134847432.jpeg,4,412.0,485.0,112.5,352.2
192.168.20.101_01_20250728134847432.jpeg,5,283.0,447.0,73.2,410.4
192.168.20.101_01_20250728135256540.jpeg,1,927.0,1051.0,104.9,70.5
192.168.20.101_01_20250728135256540.jpeg,2,619.0,758.0,103.5,187.0
192.168.20.101_01_20250728135256540.jpeg,3,830.0,666.0,181.0,188.0
192.168.20.101_01_20250728135256540.jpeg,4,1130.0,895.0,182.4,71.1
192.168.20.101_01_20250728135256540.jpeg,5,870.0,832.0,143.1,129.0
192.168.20.101_01_20250728135614186.jpeg,1,732.0,825.0,114.8,151.1
192.168.20.101_01_20250728135614186.jpeg,2,514.0,596.0,114.7,267.6
192.168.20.101_01_20250728135614186.jpeg,3,706.0,535.0,192.1,267.8
192.168.20.101_01_20250728135614186.jpeg,4,942.0,720.0,192.5,150.9
192.168.20.101_01_20250728135614186.jpeg,5,716.0,657.0,153.6,209.3
192.168.20.101_01_20250728140107673.jpeg,1,558.0,652.0,119.8,248.0
192.168.20.101_01_20250728140107673.jpeg,2,419.0,465.0,120.5,364.6
192.168.20.101_01_20250728140107673.jpeg,3,586.0,424.0,197.9,364.1
192.168.20.101_01_20250728140107673.jpeg,4,753.0,559.0,197.4,247.3
192.168.20.101_01_20250728140107673.jpeg,5,574.0,509.0,159.0,306.0
192.168.20.101_01_20250728140442299.jpeg,1,439.0,477.0,124.3,352.8
192.168.20.101_01_20250728140442299.jpeg,2,348.0,369.0,124.3,469.4
192.168.20.101_01_20250728140442299.jpeg,3,489.0,336.0,201.7,469.5
192.168.20.101_01_20250728140442299.jpeg,4,607.0,433.0,202.0,352.6
192.168.20.101_01_20250728140442299.jpeg,5,468.0,398.0,163.1,411.0
192.168.20.101_01_2025072814161015.jpeg,1,375.0,406.0,122.8,424.9
192.168.20.101_01_2025072814161015.jpeg,2,306.0,321.0,121.9,541.5
192.168.20.101_01_2025072814161015.jpeg,3,433.0,294.0,199.2,542.3
192.168.20.101_01_2025072814161015.jpeg,4,527.0,369.0,200.5,425.5
192.168.20.101_01_2025072814161015.jpeg,5,408.0,342.0,161.2,483.5
192.168.20.101_01_20250728142001401.jpeg,1,1253.0,924.0,200.8,41.3
192.168.20.101_01_20250728142001401.jpeg,2,942.0,698.0,200.1,158.0
192.168.20.101_01_20250728142001401.jpeg,3,1095.0,620.0,277.6,158.5
192.168.20.101_01_20250728142001401.jpeg,4,1372.0,801.0,278.5,41.6
