image_name,points,xi,yi,xw,yw
capture_1.jpeg,1,1911.0,827.0,1336.5,200.0
capture_1.jpeg,2,1942.0,865.0,1296.5,200.0
capture_1.jpeg,3,1842.0,851.0,1316.5,240.0
capture_1.jpeg,4,1698.0,838.0,1336.5,300.0
capture_1.jpeg,5,1722.0,878.0,1296.5,300.0
capture_2.jpeg,1,771.0,852.0,1336.5,700.0
capture_2.jpeg,2,746.0,895.0,1296.5,700.0
capture_2.jpeg,3,674.0,872.0,1316.5,740.0
capture_2.jpeg,4,571.0,851.0,1336.5,800.0
capture_2.jpeg,5,540.0,891.0,1296.5,800.0
capture_3.jpeg,1,869.0,693.0,1536.5,700.0
capture_3.jpeg,2,853.0,720.0,1496.5,700.0
capture_3.jpeg,3,791.0,706.0,1516.5,740.0
capture_3.jpeg,4,702.0,695.0,1536.5,800.0
capture_3.jpeg,5,679.0,722.0,1496.5,800.0
capture_5.jpeg,1,1783.0,674.0,1536.5,200.0
capture_5.jpeg,2,1805.0,699.0,1496.5,200.0
capture_5.jpeg,3,1724.0,688.0,1516.5,240.0
capture_5.jpeg,4,1608.0,678.0,1536.5,300.0
capture_5.jpeg,5,1623.0,705.0,1496.5,300.0
